,Star_name,Distance,solar_mass,solar_radius
141,HB 2124-4228,113.0,8.565639e-05,0.012777884
142,2MASS J21392676+0220226,32.1,4.191696e-05,0.010137824
143,2MASS J21481628+4003593,26.3,5.0118106e-05,0.010454631
144,2MASSW J2206450-421721,93.0,2.0047242e-05,0.014045111
145,2MASSW J2208136+292121,154.0,2.4603432e-05,0.01488993
146,2MASSW J2224438-015852,38.0,5.5585533e-05,0.010454631
147,2MASS J22282889-4310262,35.0,3.8272006e-05,0.00992662
148,2MASS J22373255+3922398,64.0,6.652039e-05,0.010982643
149,2MASSW J2244316+204343,56.0,1.0934859e-05,0.013622702
150,2MASS J23224684-3133231,56.0,2.1869719e-05,0.014678724
151,2MASS J23225299-6151275,148.0,1.549105e-05,0.016790772
152,2MASS J23515044-2537367,67.0,8.018897e-05,0.012249871
153,2MASSI J2356547-155310,74.0,7.289906e-05,0.011510655
154,WISE 0410+1502,20.0,5.4674297e-06,0.012355474
155,WISE 0458+6434A,35.9,1.3668574e-05,0.044352982
156,WISE 0458+6434B,35.9,9.112383e-06,0.04012889
157,WISE 1405+5534,25.3,2.7337148e-05,0.009081801
